"","trials","target","mean_acc","mean_dist","network","type"
"266",110000,2,0,4.46153846153846,"convolutional","train"
"267",110000,3,0,4.6530612244898,"convolutional","train"
"268",110000,4,0.128205128205128,3.83333333333333,"convolutional","train"
"269",110000,5,0,3.44,"convolutional","train"
"270",110000,6,0.0181818181818182,3.12727272727273,"convolutional","train"
"271",110000,7,0.15,2.4125,"convolutional","train"
"272",110000,8,0.163461538461538,1.95673076923077,"convolutional","train"
"273",110000,9,0.227272727272727,1.37878787878788,"convolutional","train"
"274",110000,10,0.333333333333333,1.07456140350877,"convolutional","train"
"275",110000,11,0.439330543933054,0.866108786610879,"convolutional","train"
"276",110000,12,0.26271186440678,1.25,"convolutional","train"
"277",110000,13,0.179347826086957,1.77717391304348,"convolutional","train"
"278",110000,14,0.0218978102189781,2.82481751824818,"convolutional","train"
"279",110000,15,0.0952380952380952,3.26190476190476,"convolutional","train"
"280",110000,16,0,4.19767441860465,"convolutional","train"
"281",110000,17,0,5.09677419354839,"convolutional","train"
"282",110000,18,0,6.16666666666667,"convolutional","train"
"283",110000,19,0,6.80769230769231,"convolutional","train"
"284",110000,20,0,7.91666666666667,"convolutional","train"
"285",110000,21,0,8.55555555555556,"convolutional","train"
"286",110000,22,0,8.83333333333333,"convolutional","train"
"287",110000,23,0,11,"convolutional","train"
"288",110000,24,0,12.2,"convolutional","train"
"289",120000,1,0,3.6,"convolutional","train"
"290",120000,2,0,4.65384615384615,"convolutional","train"
"291",120000,3,0.0204081632653061,4.10204081632653,"convolutional","train"
"292",120000,4,0.0769230769230769,3.65384615384615,"convolutional","train"
"293",120000,5,0,3.25,"convolutional","train"
"294",120000,6,0.0636363636363636,2.60909090909091,"convolutional","train"
"295",120000,7,0.20625,1.9625,"convolutional","train"
"296",120000,8,0.129807692307692,1.79807692307692,"convolutional","train"
"297",120000,9,0.45959595959596,1.04545454545455,"convolutional","train"
"298",120000,10,0.276315789473684,1.24122807017544,"convolutional","train"
"299",120000,11,0.292887029288703,1.19246861924686,"convolutional","train"
"300",120000,12,0.364406779661017,1.22881355932203,"convolutional","train"
"301",120000,13,0.233695652173913,1.67934782608696,"convolutional","train"
"302",120000,14,0.0364963503649635,2.78102189781022,"convolutional","train"
"303",120000,15,0.0793650793650794,3.26984126984127,"convolutional","train"
"304",120000,16,0,4.43023255813953,"convolutional","train"
"305",120000,17,0,5.20967741935484,"convolutional","train"
"306",120000,18,0,6.23809523809524,"convolutional","train"
"307",120000,19,0,6.80769230769231,"convolutional","train"
"308",120000,20,0,7.41666666666667,"convolutional","train"
"309",120000,21,0,8.77777777777778,"convolutional","train"
"310",120000,22,0,9.16666666666667,"convolutional","train"
"311",120000,23,0,10.3333333333333,"convolutional","train"
"312",120000,24,0,12,"convolutional","train"
"313",130000,1,0,3,"convolutional","train"
"314",130000,2,0,3.92307692307692,"convolutional","train"
"315",130000,3,0.0612244897959184,3.51020408163265,"convolutional","train"
"316",130000,4,0.269230769230769,2.91025641025641,"convolutional","train"
"317",130000,5,0,3.08,"convolutional","train"
"318",130000,6,0.0363636363636364,2.83636363636364,"convolutional","train"
"319",130000,7,0.225,2.05,"convolutional","train"
"320",130000,8,0.201923076923077,1.87019230769231,"convolutional","train"
"321",130000,9,0.217171717171717,1.43939393939394,"convolutional","train"
"322",130000,10,0.307017543859649,1.24561403508772,"convolutional","train"
"323",130000,11,0.393305439330544,1.02092050209205,"convolutional","train"
"324",130000,12,0.266949152542373,1.36016949152542,"convolutional","train"
"325",130000,13,0.282608695652174,1.58695652173913,"convolutional","train"
"326",130000,14,0.0364963503649635,2.60583941605839,"convolutional","train"
"327",130000,15,0.119047619047619,3.05555555555556,"convolutional","train"
"328",130000,16,0,4.03488372093023,"convolutional","train"
"329",130000,17,0.0161290322580645,4.64516129032258,"convolutional","train"
"330",130000,18,0,5.66666666666667,"convolutional","train"
"331",130000,19,0,6.46153846153846,"convolutional","train"
"332",130000,20,0,7.41666666666667,"convolutional","train"
"333",130000,21,0,7.77777777777778,"convolutional","train"
"334",130000,22,0,8.83333333333333,"convolutional","train"
"335",130000,23,0,10.3333333333333,"convolutional","train"
"336",130000,24,0,12,"convolutional","train"
"337",140000,1,0,3,"convolutional","train"
"338",140000,2,0,4.15384615384615,"convolutional","train"
